"African Network for Animal Welfare			http://www.anaw.org/"
"Amici Cannis						http://www.amicicannisusa.org/"
"Animal Balance						http://www.animalbalance.net/"
"Animal-Kind International				http://www.animal-kind.org/"
"Animal Welfare & Anti Harassment Society		http://www.awaahs.org/"
"ARCAS							http://www.arcasguatemala.org/"
"Asociatia Sava's Safe Haven				http://www.savasafehaven.com/"
"AWARE Trust						http://www.awaretrust.org/"
"Badmash Peepal (formerly Worldly Wags)			http://www.badmashpeepal.org/"
"Belize Wildlife and Referral Clinic				http://www.belizewildlifeclinic.org/"
"Big Fix Uganda, The					http://www.thebigfixuganda.org/"
"Casa de Orientacion y Desarollo Real/People and Animal Welfare		http://www.mycodr.org/"
"Caye Caulker Humane Society				http://www.cayecaulkerhumanesociety.com/"
"Chimpanzee Sanctuary Northwest				http://www.chimpsanctuarynw.org/"
"Compassion Unlimited Plus Action (CUPA)			http://www.cupabangalore.org/"
"Dharamsala Animal Rescue				http://dharamsalaanimalrescue.org/"
"Evelyn Alexander Wildlife Rescue Center			http://www.wildliferescuecenter.org/"
"Fort Collins Cat Rescue & Spay/Neuter Clinic		http://www.fccrsnc.org/"
"Friends of Mexican Animal Welfare			http://www.fomaw.org/"
"Fundacja Ostatnia Szansa				http://www.psiaszansa.pl/"
"Global Alliance for Animals and People, The (GAAP)		http://www.thegaap.org/"
"Gorilla Doctors (formerly Mountain Gorilla Veterinary Project)		http://www.gorilladoctors.org/"
"Grand Strand Humane Society				http://www.grandstrandhumanesociety.com/"
"Greenwood Wildlife Rehabilitation Center			http://www.greenwoodwildlife.org/"
"Hawaii Animal Rescue Foundation				http://www.hawaiianimalrescue.org/"
"Health Outreach for Latin America Foundation, The (HOLA)		http://www.holafoundation.org/"
"Helping Paws Across Borders				http://www.helping-paws-across-borders.net/"
"Humanitarian Efforts Reaching Out (HERO)		http://heroefforts.org/"
"Kathmandu Animal Treatment Centre			http://www.katcentre.org.np/"
"Kitten Krazy						http://www.kittenkrazy.org/"
"Lakeside Spay and Neuter				http://www.lakesidespayandneutercenter.com/"
"Lion's Gate Sanctuary					http://www.lionsgatesanctuary.com/"
"Mazieâ€™s Mission						http://www.maziesmission.org/"
"National Mill Dog Rescue					http://www.milldogrescue.org/"
"Native America Humane Society				http://www.nativeamericahumane.org/"
"Ngamba Island Chimpanzee Sanctuary and Wildlife Conservation Trust (a PASA organization)		http://www.ngambaisland.com/"
"Nuummi Uumasut (The Animals of Nuuk)			https://www.facebook.com/nuummiuumasut/"
"Pandas International					http://www.pandasinternational.org/"
"PASA							http://www.pasaprimates.org/"
"Ape Action Africa					http://www.apeactionafrica.org/"
"Centre de Conservation pour Chimpanzees		http://www.projetprimates.com/en/"
"CERCOPAN 							http://cercopan.org/"
"Chimfunshi Wildlife Orphanage 				http://www.chimfunshi.de/?lang=en"
"Chimpanzee Rehabilitation Project 	http://friendsofanimals.org/programs/chimpanzee-refuge-project"
"Colobus Conservation 				http://www.colobusconservation.org/index.php"
"HELP-Congo 							http://www.help-primates.org/"
"Jane Goodall Institute Chimpanzee Eden 			http://www.chimpeden.com/"
"Jeunes Animaux Confisques au Katanga  (J.A.C.K.) 		http://www.jacksanctuary.org/"
"Lilongwe Wildlife Trust 					http://www.lilongwewildlife.org/"
"Limbe Wildlife Center 					http://www.limbewildlife.org/"
"Lola ya Bonobo & ABC 					http://www.lolayabonobo.org/"
"Lwiro Primate Rehabilitation Centre 				http://www.lwiroprimates.org/"
"Pandrillus 						http://www.pandrillus.org/projects/drill-ranch/"
"Projet Protection des Gorilles-Congo and Gabon 	http://www.aspinallfoundation.org/conservation/conservation/overseas-conservation-work/congo-gabon"
"Projet Gorille Fernan-Vaz  					http://gorillasgabon.org/"
"Sanaga-Yong Chimpanzee Rescue Center 			http://www.ida-africa.org/"
"Sweetwaters Chimpanzee Sanctuary 		http://www.olpejetaconservancy.org/chimpanzee_sanctuary"
"Tacugama Chimpanzee Sanctuary 				http://www.tacugama.com/"
"Tchimpounga Chimpanzee Rehabilitation Centre 	http://www.janegoodall.org/what-we-do/protecting-great-apes/tchimpounga/"
"Vervet Monkey Foundation					http://www.enviro.co.za/"
"People For Animals-Faridabad 					http://www.pfafaridabad.com/"
"Project Chimps 							http://www.projectchimps.org/"
"Saint Seton's Orphaned Animals  					http://www.saintseton.com/"
"Sayvet								http://www.sayvet.org/"
"Second Chance Animal Rescue 					http://www.scarpr.org/"
"Snooccars Wildlife Center"
"Soi Dog Foundation  						http://www.soidog.org/"
"Soul Dog							http://www.souldog.org/"
"Students for International Veterinary Opportunities 		http://www.sivo.webs.com/"
"Tanzania Animal Welfare Society 					http://www.taweso.org/"
"Tsunami Animal-People Alliance  					http://tsunami-animal.org/"
"Victoria Falls Wildlife Trust					http://vicfallswildlifetrust.org/"
"Visakha Society for the Prevention of Cruelty to Animals 		http://www.vspca.org/"
"Watermelon Mountain Ranch Animal Shelter 			http://www.wmranch.org/"
"Wild Once More Rehabilitation Center    				http://www.wildoncemore.org/"
"Wildlife SOS    							http://www.wildlifesos.org/"
"Wildcat Sanctuary, The						http://www.wildcatsanctuary.org/"
